💞综合频道,#genre# 
NBS Korea Agricultural Br,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8




💞电影频道,#genre# 
1905电影,http://txtest-xp2p.p2p.huya.com/huyalive/1199513205060-1199513205060-5228390287876816896-2399026533576-10057-A-0-1.xs
CATCHPLAY电影,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/playlist.m3u8
黑莓电影,http://39.135.138.60:18890/PLTV/88888910/224/3221225769/index.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
海外电影,http://lvbaiducdncmn.inter.iqiyi.com/tslive/c56_lb_184_600_t10/c56_lb_184_600_t10.m3u8
Clarity,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
东森电影,http://120.84.96.33:808/hls/32/index.m3u8
豆瓣电影,http://epg.112114.xyz/douyu/8770422
东森洋片,http://120.84.96.33:808/hls/33/index.m3u8

💞港澳频道,#genre# 
凤凰卫视,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8

💞爱奇艺,#genre# 
爱奇艺-国剧修复,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c53_lb_77_720P_t10/c53_lb_77_720P_t10.m3u8?key
爱奇艺-老剧超清修复,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c52_lb_92_600_t10/c52_lb_92_600_t10.m3u8?key
爱奇艺-华语院线,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c51_lb_114_600_t10/c51_lb_114_600_t10.m3u8?key
爱奇艺-院线电影,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c52_lb_64_720P_t10/c52_lb_64_720P_t10.m3u8?key
爱奇艺-高分电影,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c51_lb_112_600_t10/c51_lb_112_600_t10.m3u8?key
爱奇艺-票房冠军,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_184_600_t10/c56_lb_184_600_t10.m3u8?key
爱奇艺-日韩院线,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c53_lb_62_600_t10/c53_lb_62_600_t10.m3u8?key
爱奇艺-经典港片,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c51_lb_110_600_t10/c51_lb_110_600_t10.m3u8?key
爱奇艺-电影大片,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_183_600_t10/c56_lb_183_600_t10.m3u8?key
爱奇艺-温情影院,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c51_lb_113_600_t10/c51_lb_113_600_t10.m3u8?key
爱奇艺-惊悚午夜场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c51_lb_115_600_t10/c51_lb_115_600_t10.m3u8?key
爱奇艺-粤语原声,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_185_600_t10/c56_lb_185_600_t10.m3u8?key
爱奇艺-动画电影,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c51_lb_118_600_t10/c51_lb_118_600_t10.m3u8?key
爱奇艺-历史秘闻,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c57_lb_236_600_t10/c57_lb_236_600_t10.m3u8?key
爱奇艺-军事观察,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c57_lb_239_720P_t10/c57_lb_239_720P_t10.m3u8?key
爱奇艺-经典纪实,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_220_600_t10/c56_lb_220_600_t10.m3u8?key
爱奇艺-自然地理,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c52_lb_81_600_t10/c52_lb_81_600_t10.m3u8?key
爱奇艺-央视大剧,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c54_lb_90_600_t10/c54_lb_90_600_t10.m3u8?key
爱奇艺-家庭剧场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c55_lb_158_600_t10/c55_lb_158_600_t10.m3u8?key
爱奇艺-收视冠军,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_230_720P_t10/c56_lb_230_720P_t10.m3u8?key
爱奇艺-老年剧场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_179_600_t10/c56_lb_179_600_t10.m3u8?key
爱奇艺-仙侠玄幻,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c55_lb_148_600_t10/c55_lb_148_600_t10.m3u8?key
爱奇艺-经典重温,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c55_lb_137_600_t10/c55_lb_137_600_t10.m3u8?key
爱奇艺-婚姻剧场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_219_600_t10/c56_lb_219_600_t10.m3u8?key
爱奇艺-情景喜剧,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c55_lb_145_600_t10/c55_lb_145_600_t10.m3u8?key
爱奇艺-热播电视剧,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c57_lb_212_600_t10/c57_lb_212_600_t10.m3u8?key
爱奇艺-口播年代剧,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c54_lb_171_300_t10/c54_lb_171_300_t10.m3u8?key
爱奇艺-抗战剧场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c54_lb_163_600_t10/c54_lb_163_600_t10.m3u8?key
爱奇艺-宫庭正剧,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c54_lb_152_600_t10/c54_lb_152_600_t10.m3u8?key
爱奇艺-怀旧剧场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c51_lb_109_600_t10/c51_lb_109_600_t10.m3u8?key
爱奇艺-军旅剧场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c55_lb_144_600_t10/c55_lb_144_600_t10.m3u8?key
爱奇艺-权谋剧场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c55_lb_167_600_t10/c55_lb_167_600_t10.m3u8?key
爱奇艺-谍战剧场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c57_lb_216_600_t10/c57_lb_216_600_t10.m3u8?key
爱奇艺-青春剧场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c55_lb_147_720P_t10/c55_lb_147_720P_t10.m3u8?key
爱奇艺-爱情保卫战,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c54_lb_142_600_t10/c54_lb_142_600_t10.m3u8?key
爱奇艺-人文社会,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_243_600_t10/c56_lb_243_600_t10.m3u8?key
爱奇艺-美食厨房,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_182_600_t10/c56_lb_182_600_t10.m3u8?key
爱奇艺-我和我的祖国,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c53_lb_72_720P_t10/c53_lb_72_720P_t10.m3u8?key
爱奇艺-第三调解室,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_240_600_t10/c56_lb_240_600_t10.m3u8?key
爱奇艺-真人秀,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c52_lb_75_720P_t10/c52_lb_75_720P_t10.m3u8?key
爱奇艺-小说改编,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c54_lb_174_600_t10/c54_lb_174_600_t10.m3u8?key

💞直播电影,#genre# 
白日焰火,https://hxf102.njc.svp.tencent-cloud.com/0bc3raaagaaakqapmmbsmzrvbcgdaoeaaaya.f10002.mp4?
变脸,https://hxf105.njc.svp.tencent-cloud.com/0bf2zuaakaaafmaeohxiqzqfbtodaxgqabia.f10002.mp4?
此房是我造,https://hxf102.njc.svp.tencent-cloud.com/0bf2k4ae2aaa3aap4ke3krqfav6djvlqatia.f10002.mp4?
喋血街头,https://hxf928.njc.svp.tencent-cloud.com/0bf2qyabyaaabuahjpz6ujqfbbwddsdaahaa.f10003.mp4?
港囧,https://hxf105.njc.svp.tencent-cloud.com/0bf2yiaveaabw4antavhy5pvdqwdklbacuqa.f10002.mp4?
和平饭店,https://hxf928.njc.svp.tencent-cloud.com/0b78fqabkaaadiahv7jbvbqvalgdcuwaafia.f10003.mp4?
黑社会2以和为贵,https://2022919.njc.svp.tencent-cloud.com/0b7844aaeaaaryamffd5cvqfbz6daltqaaqa.f10002.mp4?
淮海战役,https://hxf105.njc.svp.tencent-cloud.com/0b78yiaaaaaayeaktkiqljqfbqwdadbaaaaa.f10002.mp4
警戒结束,https://hxf925.njc.svp.tencent-cloud.com/0bc3tmabmaaaqmacfgytpvrvbg6dc2nqafqa.f10002.mp4?
囧妈,https://hxf105.njc.svp.tencent-cloud.com/0b2ediaacaaayqapzeffyzrfagwdaenaaaia.f10002.mp4
狂暴巨兽,https://hxf925.njc.svp.tencent-cloud.com/0bc3fuaaaaaau4alwbaqwbrvalodaawqaaaa.f10002.mp4?
魔女,https://hxf105.njc.svp.tencent-cloud.com/0bf2nuab2aaajiapirxbcfpva3oddvwqahia.f10002.mp4?
奇幻精灵事件簿,https://hxf930.njc.svp.tencent-cloud.com/0bc3cmadqaaa5maacyzqsbrvae6dhajqaoaa.f10002.mp4?
青蛇,https://hxf922.njc.svp.tencent-cloud.com/0bf2zuaa2aaamuaiezapjrqfbtodbxgqadia.f10002.mp4?
全球风暴,https://2022919.njc.svp.tencent-cloud.com/0bf2z4abgaaa5uafx3ln5zqfbt6dcphqaeya.f10002.mp4?
人在囧途,https://hxf105.njc.svp.tencent-cloud.com/0bf2riaksaaadeajelvfhzpvbcwdvgfabkia.f10002.mp4?
神奇女侠,https://hxf925.njc.svp.tencent-cloud.com/0bc3muaamaaaruagqvh5nnrfazodazsqabqa.f10002.mp4?
泰囧,https://hxf105.njc.svp.tencent-cloud.com/0bf2u4abqaaaaaaf5svfr5pvbj6ddctqagaa.f10002.mp4?
未来水世界,https://hxf930.njc.svp.tencent-cloud.com/0bc3vqaaiaaapuaofprphjrvblgdaswaabaa.f10002.mp4?
无人区未删减版,https://hxf102.njc.svp.tencent-cloud.com/0bf2biaacaaasqadu257bbpfacwdaefaaaia.f10002.mp4?
武林圣火令,https://hxf928.njc.svp.tencent-cloud.com/0bc34aabkaaau4akajeh7bqvbygdcxqaafia.f10003.mp4?
侠盗高飞,https://hxf928.njc.svp.tencent-cloud.com/0bf2hmagyaaayeabytjb3fqvao6dnq5qa3aa.f10003.mp4?
侠盗王子罗宾汉,https://hxf922.njc.svp.tencent-cloud.com/0bc33eaa6aaan4afdtikmbrvbwodb7mqadya.f10002.mp4?
鹰王1977,https://hxf102.njc.svp.tencent-cloud.com/0b2e6aabiaaacmabv4rjufrvb4gdctyaafaa.f10002.mp4?
珍珠港,https://hxf930.njc.svp.tencent-cloud.com/0b2eeuabaaaaeeaayyjvhjrvajodcasqaeaa.f10002.mp4?
蜘蛛侠2,https://hxf930.njc.svp.tencent-cloud.com/0bc32uacgaaaqmadmjzlrjrvbvodepkqaiya.f10002.mp4?
致命黑兰,https://hxf922.njc.svp.tencent-cloud.com/0bc37qabcaaaeiae7rinmnrvb7gdch6aaeia.f10002.mp4?
复仇者联盟4终局之战,https://50069.njc.svp.tencent-cloud.com//0b78eaaamaaasyabgn3m7jqfaigdayqaabqa.f10002.mp4?
雷神4爱与雷霆2022,https://50069.njc.svp.tencent-cloud.com//0b2ekmaauaaajyab536whnrfau6dbjjqacqa.f10002.mp4?
沙漠伏击,https://hxf105.njc.svp.tencent-cloud.com/0bc3faacaaaa7eam4ij265rvakgdeauaaiaa.f10002.mp4?

奇门暗刃,http://mmmitv.top:80/test/kdy.php?id=181590.html&tag=video&type=dinary&opt=0
唐门之神犼双雄,http://mmmitv.top:80/test/kdy.php?id=178794.html&tag=video&type=dinary&opt=0
鬼寺凶灵3,http://mmmitv.top:80/test/kdy.php?id=177890.html&tag=video&type=dinary&opt=0
逃狱兄弟3国语版,http://mmmitv.top:80/test/kdy.php?id=181449.html&tag=video&type=dinary&opt=0
神探大战国语,http://mmmitv.top:80/test/kdy.php?id=181194.html&tag=video&type=dinary&opt=0
民间怪谈录之走阴人,http://mmmitv.top/test/kdy.php?i ... n&type=dinary&opt=1
神探大战 普通话,http://mmmitv.top/test/kdy.php?i ... e&type=dinary&opt=3
死人谷,http://mmmitv.top:80/test/kdy.php?id=70349.html&tag=movie&type=dinary&opt=3
狄仁杰之借尸还魂,http://mmmitv.top:80/test/kdy.php?id=70063.html&tag=movie&type=dinary&opt=3
侏罗纪世界3美版,http://mmmitv.top:80/test/kdy.php?id=71304.html&tag=movie&type=dinary&opt=3
重案行动之限时拯救国语,http://mmmitv.top:80/test/kdy.php?id=71308.html&tag=movie&type=dinary&opt=3
生死自由,http://mmmitv.top/test/kdy.php?id=181725.html&tag=video&type=dinary&opt=0
特送,http://mmmitv.top/test/kdy.php?id=143047.html&tag=video&type=dinary&opt=0
芒斯特一家,http://mmmitv.top/test/kdy.php?id=182894.html&tag=video&type=dinary&opt=0
重启之深渊疑冢,http://mmmitv.top/test/kdy.php?id=185329.html&tag=video&type=dinary&opt=0
巢穴2022,http://mmmitv.top/test/kdy.php?id=185341.html&tag=video&type=dinary&opt=0
我的牙想你,http://mmmitv.top/test/kdy.php?id=184017.html&tag=video&type=dinary&opt=0
无惧之爱,http://mmmitv.top/test/kdy.php?id=185340.html&tag=video&type=dinary&opt=0
奇门异人,http://mmmitv.top/test/kdy.php?id=169951.html&tag=video&type=dinary&opt=0
福尔摩斯小姐2,http://mmmitv.top/test/kdy.php?id=185339.html&tag=video&type=dinary&opt=0
我的警察,http://mmmitv.top/test/kdy.php?id=185322.html&tag=video&type=dinary&opt=0
龙女孩,http://mmmitv.top/test/kdy.php?id=185075.html&tag=video&type=dinary&opt=0
蝙蝠侠和超人：超凡双子之战,http://mmmitv.top/test/kdy.php?id=183923.html&tag=video&type=dinary&opt=0
阿松2022,http://mmmitv.top/test/kdy.php?id=185300.html&tag=video&type=dinary&opt=0
早丧好,http://mmmitv.top/test/kdy.php?id=185298.html&tag=video&type=dinary&opt=0
阖家辣,http://mmmitv.top/test/kdy.php?id=185297.html&tag=video&type=dinary&opt=0
九叔归来3：魁蛊婴,http://mmmitv.top/test/kdy.php?id=148096.html&tag=video&type=dinary&opt=0
恶魔讲习班,http://mmmitv.top/test/kdy.php?id=185216.html&tag=video&type=dinary&opt=0
危笑,http://mmmitv.top/test/kdy.php?id=184759.html&tag=video&type=dinary&opt=0
正直的候选人2,http://mmmitv.top/test/kdy.php?id=185214.html&tag=video&type=dinary&opt=0
刺猬索尼克2,http://mmmitv.top/test/kdy.php?id=103229.html&tag=video&type=dinary&opt=0
尘缘不神山,http://mmmitv.top/test/kdy.php?id=185197.html&tag=video&type=dinary&opt=0
暗影特工,http://mmmitv.top/test/kdy.php?id=183352.html&tag=video&type=dinary&opt=0
魔童谣,http://mmmitv.top/test/kdy.php?id=185157.html&tag=video&type=dinary&opt=0
爱之屋2,http://mmmitv.top/test/kdy.php?id=185156.html&tag=video&type=dinary&opt=0
谁是谁的菜,http://mmmitv.top/test/kdy.php?id=185155.html&tag=video&type=dinary&opt=0
共助2：国际,http://mmmitv.top/test/kdy.php?id=185020.html&tag=video&type=dinary&opt=0
看他们如何逃之夭夭,http://mmmitv.top/test/kdy.php?id=185151.html&tag=video&type=dinary&opt=0
正义黑客2022,http://mmmitv.top/test/kdy.php?id=185149.html&tag=video&type=dinary&opt=0
剿匪女侠樊梨花,http://mmmitv.top/test/kdy.php?id=184722.html&tag=video&type=dinary&opt=0
灰影人,http://mmmitv.top/test/kdy.php?id=177882.html&tag=video&type=dinary&opt=0
解禁男女,http://mmmitv.top/test/kdy.php?id=174640.html&tag=video&type=dinary&opt=0
永远的记忆之血战黎明前,http://mmmitv.top/test/kdy.php?id=182110.html&tag=video&type=dinary&opt=0
超龄英雄,http://mmmitv.top/test/kdy.php?id=185066.html&tag=video&type=dinary&opt=0
复活节,http://mmmitv.top/test/kdy.php?id=184014.html&tag=video&type=dinary&opt=0
天才不能承受之重,http://mmmitv.top/test/kdy.php?id=174744.html&tag=video&type=dinary&opt=0
喂我,http://mmmitv.top/test/kdy.php?id=185032.html&tag=video&type=dinary&opt=0
追爱谎言,http://mmmitv.top/test/kdy.php?id=185021.html&tag=video&type=dinary&opt=0
广东十虎：铁拳无敌,http://mmmitv.top/test/kdy.php?id=180311.html&tag=video&type=dinary&opt=0
一直一直都很喜欢你,http://mmmitv.top/test/kdy.php?id=181935.html&tag=video&type=dinary&opt=0
利卡多·克维多：明天会更糟,http://mmmitv.top/test/kdy.php?id=179126.html&tag=video&type=dinary&opt=0
绝命复仇癫狂哥,http://mmmitv.top/test/kdy.php?id=180312.html&tag=video&type=dinary&opt=0
双子座计划,http://mmmitv.top/test/kdy.php?id=175245.html&tag=video&type=dinary&opt=0
虚空北境,http://mmmitv.top/test/kdy.php?id=184961.html&tag=video&type=dinary&opt=0
为耶稣鸣喇叭，拯救你的灵魂,http://mmmitv.top/test/kdy.php?id=184960.html&tag=video&type=dinary&opt=0
我遇见了魔鬼,http://mmmitv.top/test/kdy.php?id=184881.html&tag=video&type=dinary&opt=0
百慕大星际流浪者,http://mmmitv.top/test/kdy.php?id=184954.html&tag=video&type=dinary&opt=0
哥，你好,http://mmmitv.top/test/kdy.php?id=184952.html&tag=video&type=dinary&opt=0
加油！田大志,http://mmmitv.top/test/kdy.php?id=170025.html&tag=video&type=dinary&opt=0
天堂门票,http://mmmitv.top/test/kdy.php?id=184894.html&tag=video&type=dinary&opt=0
西线无战事2022,http://mmmitv.top/test/kdy.php?id=184877.html&tag=video&type=dinary&opt=0
狼狩猎,http://mmmitv.top/test/kdy.php?id=184640.html&tag=video&type=dinary&opt=0
宇宙恋曲,http://mmmitv.top/test/kdy.php?id=184820.html&tag=video&type=dinary&opt=0
梁祝：化蝶,http://mmmitv.top/test/kdy.php?id=184388.html&tag=video&type=dinary&opt=0
变种人：幽灵战姬,http://mmmitv.top/test/kdy.php?id=183020.html&tag=video&type=dinary&opt=0
狂虎危城,http://mmmitv.top/test/kdy.php?id=182258.html&tag=video&type=dinary&opt=0
我是女特警,http://mmmitv.top/test/kdy.php?id=184675.html&tag=video&type=dinary&opt=0
疯矿入侵,http://mmmitv.top/test/kdy.php?id=179731.html&tag=video&type=dinary&opt=0
日班猎人,http://mmmitv.top/test/kdy.php?id=179700.html&tag=video&type=dinary&opt=0
末日战士,http://mmmitv.top/test/kdy.php?id=181600.html&tag=video&type=dinary&opt=0
地狱之渊,http://mmmitv.top/test/kdy.php?id=184762.html&tag=video&type=dinary&opt=0
野蛮人2022,http://mmmitv.top/test/kdy.php?id=184750.html&tag=video&type=dinary&opt=0
狄仁杰之借尸还魂,http://mmmitv.top/test/kdy.php?id=170567.html&tag=video&type=dinary&opt=0
异变暴龙,http://mmmitv.top/test/kdy.php?id=144111.html&tag=video&type=dinary&opt=0
致命录像带99,http://mmmitv.top/test/kdy.php?id=184695.html&tag=video&type=dinary&opt=0
狂暴巨狼,http://mmmitv.top/test/kdy.php?id=170755.html&tag=video&type=dinary&opt=0
东北情圣,http://mmmitv.top/test/kdy.php?id=180799.html&tag=video&type=dinary&opt=0
发丘天官：昆仑墟,http://mmmitv.top/test/kdy.php?id=144030.html&tag=video&type=dinary&opt=0
6/45,http://mmmitv.top/test/kdy.php?id=184646.html&tag=video&type=dinary&opt=0
四十七浪人之刃,http://mmmitv.top/test/kdy.php?id=184636.html&tag=video&type=dinary&opt=0
爱情的代驾,http://mmmitv.top/test/kdy.php?id=184619.html&tag=video&type=dinary&opt=0
零号之日,http://mmmitv.top/test/kdy.php?id=184618.html&tag=video&type=dinary&opt=0
密弑逃生,http://mmmitv.top/test/kdy.php?id=184606.html&tag=video&type=dinary&opt=0
小黄人大眼萌：神偷奶爸前传,http://mmmitv.top/test/kdy.php?id=171686.html&tag=video&type=dinary&opt=0
猎狼行动1,http://mmmitv.top/test/kdy.php?id=183842.html&tag=video&type=dinary&opt=0
七剑一步,http://mmmitv.top/test/kdy.php?id=180306.html&tag=video&type=dinary&opt=0
断魂小丑2,http://mmmitv.top/test/kdy.php?id=184575.html&tag=video&type=dinary&opt=0
画不投机,http://mmmitv.top/test/kdy.php?id=184386.html&tag=video&type=dinary&opt=0
行骗天下JP：英雄篇,http://mmmitv.top/test/kdy.php?id=167272.html&tag=video&type=dinary&opt=0
哥们儿2022,http://mmmitv.top/test/kdy.php?id=184570.html&tag=video&type=dinary&opt=0
邪恶寄居,http://mmmitv.top/test/kdy.php?id=184567.html&tag=video&type=dinary&opt=0
杰夫·福克斯沃西：想当年,http://mmmitv.top/test/kdy.php?id=174354.html&tag=video&type=dinary&opt=0
澡堂也疯狂,http://mmmitv.top/test/kdy.php?id=123254.html&tag=video&type=dinary&opt=0
地狱尖兵,http://mmmitv.top/test/kdy.php?id=184537.html&tag=video&type=dinary&opt=0
狄仁杰之冥神契约,http://mmmitv.top/test/kdy.php?id=133973.html&tag=video&type=dinary&opt=0
美丽长情,http://mmmitv.top/test/kdy.php?id=90599.html&tag=VOM&type=dinary&opt=2
九龙笔之神兵觉醒,http://mmmitv.top/test/kdy.php?id=56209.html&tag=VOM&type=dinary&opt=2
良心护士,http://mmmitv.top/test/kdy.php?id=89324.html&tag=VOM&type=dinary&opt=2
洗劫墨索里尼,http://mmmitv.top/test/kdy.php?id=89321.html&tag=VOM&type=dinary&opt=2
地狱之渊,http://mmmitv.top/test/kdy.php?id=89319.html&tag=VOM&type=dinary&opt=2
甘古拜·卡蒂娅瓦迪,http://mmmitv.top/test/kdy.php?id=56131.html&tag=VOM&type=dinary&opt=2
烈马争锋上海滩,http://mmmitv.top/test/kdy.php?id=49828.html&tag=VOM&type=dinary&opt=2
连环扣,http://mmmitv.top/test/kdy.php?id=50046.html&tag=VOM&type=dinary&opt=2
月光光心慌慌：终结,http://mmmitv.top/test/kdy.php?id=88595.html&tag=VOM&type=dinary&opt=2
昆仑劫之鲛人泪,http://mmmitv.top/test/kdy.php?id=38583.html&tag=VOM&type=dinary&opt=2
危情普什卡,http://mmmitv.top/test/kdy.php?id=55934.html&tag=VOM&type=dinary&opt=2
黑鹰少年,http://mmmitv.top/test/kdy.php?id=88348.html&tag=VOM&type=dinary&opt=2
琉璃之舞,http://mmmitv.top/test/kdy.php?id=49041.html&tag=VOM&type=dinary&opt=2
野兽 Beast [2022],http://mmmitv.top/test/kdy.php?id=90120.html&tag=VOM&type=dinary&opt=2
极地追击,http://mmmitv.top/test/kdy.php?id=37875.html&tag=VOM&type=dinary&opt=2
代码危机,http://mmmitv.top/test/kdy.php?id=37530.html&tag=VOM&type=dinary&opt=2
狄仁杰之冥神契约,http://mmmitv.top/test/kdy.php?id=37705.html&tag=VOM&type=dinary&opt=2
新洗冤录,http://mmmitv.top/test/kdy.php?id=35522.html&tag=VOM&type=dinary&opt=2
生死危途,http://mmmitv.top/test/kdy.php?id=37552.html&tag=VOM&type=dinary&opt=2
猎毒者,http://mmmitv.top/test/kdy.php?id=36203.html&tag=VOM&type=dinary&opt=2
六耳猕猴,http://mmmitv.top/test/kdy.php?id=36745.html&tag=VOM&type=dinary&opt=2
镇魔司：灵源秘术,http://mmmitv.top/test/kdy.php?id=36337.html&tag=VOM&type=dinary&opt=2
倚天屠龙记之九阳神功[粤语],http://mmmitv.top/test/kdy.php?id=89736.html&tag=VOM&type=dinary&opt=2
